,Price,Address,Beds,Baths,Area
0,"$99,450",425 425 Sd 63530  RockSprings TX 78880  ,,,
1,"$3,625,000",00 Cr 903  Rocksprings TX 78880  ,,,
2,"$229,961",County Road 550  Rocksprings TX 78880  ,,,
3,"$75,000",Lot 41 Pinion Ranch  Rocksprings TX 78880  ,,,
4,"$2,400,000",7600 Cr 450  Rocksprings TX 78880  ,4,3,
5,"$3,625,000",2132 Rr 2995  Rocksprings TX 78880  ,,,
6,"$3,285,565",00 County Road 440  Rocksprings TX 78880  ,,,
7,"$3,285,565",Cr 440  Rocksprings TX 78880  ,,,
8,"$3,285,565",Cr 440  Rocksprings TX 78880  ,,,
9,"$1,127,000",0 Other  Rocksprings TX 78880  ,,,
10,"$1,127,000",Other  Rocksprings TX 78880  ,,,
11,"$435,172",Other  Rocksprings TX 78880  ,,,
12,"$397,692",Other  Rocksprings TX 78880  ,,,
13,,,,,
